"SEBARAN";"KEMATIAN";"WILAYAH";"TAHUN";"SEMBUH";"Jumlah tenaga
keperawatan";"Jumlah
Rumah Sakit";"Jumlah
Nakes";"Jumlah penduduk";"jumlah_
penduduk
bekerja";"jumlah perilaku
hidup sehat";"id";"cluster"
0.15236772027324302;0.15970961887477314;"KOTA BEKASI";2021;402;5057;48;68;2468448;1376447;40596;48;"cluster_0"
0.05349079541507468;0.06170598911070781;"KOTA BOGOR";2021;205;3161;23;44;1091396;466645;145792;49;"cluster_2"
0.03531318744934584;0.036297640653357534;"KOTA CIMAHI";2021;200;1468;8;28;560746;254059;65195;50;"cluster_2"
0.04006020609007757;0.034482758620689655;"KOTA CIREBON";2021;347;1223;11;33;343667;139397;46322;51;"cluster_2"
0.14078962602755588;0.10163339382940109;"KOTA DEPOK";2021;493;3389;24;62;1893321;1089295;347237;52;"cluster_0"
0.02535602639805488;0.043557168784029036;"KOTA SUKABUMI";2021;109;1288;6;34;353631;128395;54842;53;"cluster_2"
0.048743776774342946;0.034482758620689655;"KOTA TASIKMALAYA";2021;351;1546;12;35;731606;316349;73447;54;"cluster_2"
0.21350005789047122;0.2595281306715064;"KABUPATEN BANDUNG";2022;1239;2310;15;97;3708344;1682510;388891;55;"cluster_1"
0.09262475396549728;0.08348457350272233;"KABUPATEN BANDUNG BARAT";2022;468;1091;11;50;1826946;740639;233457;56;"cluster_0"
0.1720504804909112;0.13430127041742287;"KABUPATEN BEKASI";2022;712;4444;53;95;3147268;1799668;583003;57;"cluster_0"
0.6064605765890935;0.47731397459165154;"KABUPATEN BOGOR";2022;2094;4374;30;136;5473476;2589167;552261;58;"cluster_1"
0.06124811855968507;0.09800362976406533;"KABUPATEN CIAMIS";2022;309;1207;6;55;1267878;639600;154413;59;"cluster_2"
0.14102118791246962;0.12522686025408347;"KABUPATEN CIANJUR";2022;328;1678;5;60;2506384;1119786;534689;60;"cluster_0"
0.1960171355794836;0.15970961887477314;"KABUPATEN CIREBON";2022;1012;3049;12;69;2411302;1020411;206354;61;"cluster_0"
0.1862915364131064;0.18874773139745918;"KABUPATEN GARUT";2022;632;2464;7;70;2759490;1229218;366250;62;"cluster_0"
0.0680791941646405;0.07259528130671507;"KABUPATEN INDRAMAYU";2022;171;1648;12;80;1912850;890992;230442;63;"cluster_0"
0.21280537223573;0.23049001814882034;"KABUPATEN KARAWANG";2022;977;3313;26;56;2509839;1077939;288472;64;"cluster_0"
0.09065647794373047;0.12341197822141561;"KABUPATEN KUNINGAN";2022;514;1418;12;50;1218332;478750;419495;65;"cluster_2"
0.0929720967928679;0.0544464609800363;"KABUPATEN MAJALENGKA";2022;722;1242;5;60;1340016;617320;169125;66;"cluster_2"
0.0012735903670255877;0.012704174228675136;"KABUPATEN PANGANDARAN";2022;94;562;1;52;436748;256684;104738;67;"cluster_2"
0.06750028945235614;0.0998185117967332;"KABUPATEN PURWAKARTA";2022;371;1835;11;41;1020994;430788;189042;68;"cluster_2"
0.1055922195206669;0.13611615245009073;"KABUPATEN SUBANG";2022;299;1324;11;50;1618380;800701;301181;69;"cluster_0"
0.17737640384392728;0.04900181488203267;"KABUPATEN SUKABUMI";2022;894;2167;9;89;2762500;1211763;382327;70;"cluster_0"
0.038091930068310756;0.0998185117967332;"KABUPATEN SUMEDANG";2022;161;944;3;48;1187620;562416;204106;71;"cluster_2"
0.1413685307398402;0.1996370235934664;"KABUPATEN TASIKMALAYA";2022;859;1091;2;49;1939683;901466;226236;72;"cluster_0"
0.28910501331480837;0.5462794918330308;"KOTA BANDUNG";2022;984;6645;39;160;2545005;1298537;110473;73;"cluster_0"
0.0;0.003629764065335753;"KOTA BANJAR";2022;89;494;4;16;207625;89588;47023;74;"cluster_2"
0.2210258191501679;0.1996370235934664;"KOTA BEKASI";2022;688;5445;47;77;2486251;1452223;25860;75;"cluster_0"
0.10744471459997684;0.27586206896551724;"KOTA BOGOR";2022;413;3029;22;65;1114018;496570;146529;76;"cluster_2"
0.06344795646636564;0.036297640653357534;"KOTA CIMAHI";2022;266;1604;8;26;566537;286038;62632;77;"cluster_2"
0.057774690285978925;0.10344827586206896;"KOTA CIREBON";2022;395;1322;11;33;346438;149860;47303;78;"cluster_2"
0.21546833391223805;0.2159709618874773;"KOTA DEPOK";2022;1087;3372;26;64;1920182;1160313;365258;79;"cluster_0"
0.037976149125853884;0.06170598911070781;"KOTA SUKABUMI";2022;107;1221;6;39;358854;145522;54842;80;"cluster_2"
0.06993168924395045;0.07259528130671507;"KOTA TASIKMALAYA";2022;513;1597;14;39;746710;324099;75595;81;"cluster_2"
0.34711126548570104;0.7441016333938294;"KABUPATEN BANDUNG";2023;1817;3236;17;100;3749172;1756328;441772;82;"cluster_1"
0.13650573115665163;0.12522686025408347;"KABUPATEN BANDUNG BARAT";2023;724;3249;12;61;1847096;870269;284366;83;"cluster_0"
0.3307861525992822;0.2250453720508167;"KABUPATEN BEKASI";2023;1173;3248;55;77;3197006;1451622;701147;84;"cluster_0"
1.0;1.0;"KABUPATEN BOGOR";2023;3122;3233;31;114;5558885;2505069;534941;85;"cluster_1"
0.11080236193122613;0.12341197822141561;"KABUPATEN CIAMIS";2023;488;3239;6;47;1281201;634660;124861;86;"cluster_2"
0.24186638879240477;0.21415607985480944;"KABUPATEN CIANJUR";2023;775;3235;7;49;2535002;1283307;555646;87;"cluster_0"
0.35984716915595694;0.27223230490018147;"KABUPATEN CIREBON";2023;1700;3241;13;87;2437899;1101094;217011;88;"cluster_0"
0.29315734630079887;0.33030852994555354;"KABUPATEN GARUT";2023;814;3237;9;61;2753949;1289745;409464;89;"cluster_0"
0.1255065416232488;0.18330308529945555;"KABUPATEN INDRAMAYU";2023;274;3244;12;78;1933948;880854;75182;90;"cluster_0"
0.38659256686349425;0.33575317604355714;"KABUPATEN KARAWANG";2023;1335;3247;26;58;2539381;1117496;286574;91;"cluster_0"
0.14055806414264213;0.1306715063520871;"KABUPATEN KUNINGAN";2023;785;3240;12;57;1231772;519658;182786;92;"cluster_2"
0.15178881556095866;0.10163339382940109;"KABUPATEN MAJALENGKA";2023;1102;3242;6;57;1354803;689821;216758;93;"cluster_2"
0.017598703253444484;0.0544464609800363;"KABUPATEN PANGANDARAN";2023;114;3250;1;56;442205;270386;119076;94;"cluster_2"
0.12539076068079194;0.13611615245009073;"KABUPATEN PURWAKARTA";2023;401;3246;11;36;1036768;479290;178791;95;"cluster_2"
0.16278800509436148;0.20326678765880218;"KABUPATEN SUBANG";2023;414;3245;11;50;1636233;839759;255923;96;"cluster_0"
0.25054995947667014;0.0925589836660617;"KABUPATEN SUKABUMI";2023;975;3234;9;79;2790320;1344044;413433;97;"cluster_0"
0.08440430705105939;0.14337568058076225;"KABUPATEN SUMEDANG";2023;376;3243;5;47;1205685;582674;247142;98;"cluster_2"
0.21014241055922195;0.2595281306715064;"KABUPATEN TASIKMALAYA";2023;1129;3238;3;45;1958221;970598;254757;99;"cluster_0"
0.42700011578094244;0.7622504537205081;"KOTA BANDUNG";2023;1324;3305;42;151;2569107;1202485;100558;100;"cluster_0"
0.023503531318744934;0.030852994555353903;"KOTA BANJAR";2023;94;3311;4;24;208309;103010;46049;101;"cluster_2"
0.40998031723978234;0.3484573502722323;"KOTA BEKASI";2023;1275;3307;48;89;2513669;1214160;52173;102;"cluster_0"
0.2397823318281811;0.4827586206896552;"KOTA BOGOR";2023;816;3303;22;67;1127408;484334;153170;103;"cluster_2"
0.09644552506657404;0.06170598911070781;"KOTA CIMAHI";2023;474;3309;8;30;575519;282398;69068;104;"cluster_2"
0.08243603102929258;0.10163339382940109;"KOTA CIREBON";2023;518;3306;10;54;352347;167037;47028;105;"cluster_2"
0.29327312724325577;0.32123411978221417;"KOTA DEPOK";2023;1354;3308;28;73;1941360;961194;361673;106;"cluster_0"
0.07456292694222531;0.10344827586206896;"KOTA SUKABUMI";2023;283;3304;6;28;364912;156762;33661;107;"cluster_2"
0.11311798078036356;0.13793103448275862;"KOTA TASIKMALAYA";2023;686;3310;15;41;757815;345544;84867;108;"cluster_2"
